wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K06307: spore germination protein	0.351	0.191	0.289	0.179	0.021	0.086	3.74e-10	0.244	9.77e-10	1.66e-05	0.634	0.0682	1.9239793814433e-09	0.492939926983073	2.10587783286119e-09	3.30317750898987e-05	0.9956866689993	0.235069875424689	0.28	0.414
K09864: aquaporin-1	0.103	0.118	0.086	0.115	0.039	0.118	0.084	0.775	0.113	0.417	0.627	0.233	0.0965806451612903	1	0.131970644666155	0.46033351468988	0.9956866689993	0.504363798008535	0.037	0.146
K10394: kinesin family member 3/17	0.033	0.142	0.187	0.265	0.612	0.441	3.25e-15	0.00404	2.96e-14	2.34e-08	0.488	0.135	9.4303768115942e-14	0.0249659695431472	8.48839406207827e-14	5.81133414932681e-08	0.9956866689993	0.359154283216783	0.417	0.474
K10395: kinesin family member 4/7/21/27	0.036	0.126	0.235	0.303	0.405	0.453	4.41e-09	0.000185	3.49e-08	0.0466	0.513	0.522	1.8395736677116e-08	0.00242170967741935	6.95828037995414e-08	0.0600834992586316	0.9956866689993	0.837704719219615	0.259	0.29
K10392: kinesin family member 1/13/14	0.191	0.502	1.501	0.682	2.785	0.086	<2e-16	6.55e-15	1.67e-15	2.3e-12	0.986	0.0068	NA	1.04920657894737e-12	6.84531313131313e-15	7.47070437566702e-12	0.999103431210822	0.0543910643889619	0.751	0.823
K04047: starvation-inducible DNA-binding protein	1.457	0.537	1.122	0.689	0	0	3.12e-15	0.0127	2.81e-14	2.57e-09	0.896	0.41	9.22595555555555e-14	0.0573053372868792	8.48839406207827e-14	6.86122368421053e-09	0.9956866689993	0.721291907514451	0.416	0.457
K04045: molecular chaperone HscC	0.379	0.312	0.223	0.265	0	0	2.6e-06	0.033	7.79e-06	0.0376	0.697	0.0515	6.81944809461235e-06	0.11419613416714	1.36140482342808e-05	0.0493682484900777	0.9956866689993	0.198279886148008	0.173	0.364
K04044: molecular chaperone HscA	0.311	0.306	0.368	0.426	0.111	0.31	0.00519	0.71	0.0703	0.0405	0.833	0.000747	0.00732619519094767	0.964035244256079	0.0841360794337397	0.0528340120017145	0.9956866689993	0.0128809886685552	0.063	0.301
K04043: molecular chaperone DnaK	2.12	0.251	1.945	0.248	0.604	0.611	<2e-16	0.025	1.67e-15	1.67e-15	0.495	1	NA	0.0936461538461539	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.699	0.699
K04042: bifunctional protein GlmU	1.515	0.293	1.488	0.251	0.443	0.522	<2e-16	0.919	2.78e-15	2.68e-14	0.614	0.0569	NA	1	1.05170043505283e-14	1.24061143984221e-13	0.9956866689993	0.211705562347188	0.537	0.604
K04041: fructose-1,6-bisphosphatase III	1.891	0.244	1.727	0.421	0.174	0.486	<2e-16	0.0456	1.67e-15	1.67e-15	0.6	1	NA	0.144868058455115	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.739	0.739
K10020: octopine/nopaline transport system permease protein	0.017	0.036	0.049	0.074	0	0	8.63e-05	0.00244	0.349	0.00166	0.666	0.0165	0.0001726	0.0175351593860685	0.379079764453961	0.00266748152059134	0.9956866689993	0.0955618458610847	0.112	0.288
K10021: octopine/nopaline transport system ATP-binding protein	0.309	0.124	0.278	0.125	0.033	0.085	1.5e-13	0.468	1.22e-13	4.39e-09	0.971	0.143	1.91923076923077e-12	0.765166800966962	3.12811288963774e-13	1.14784922680412e-08	0.998386055843504	0.372779871520343	0.367	0.459
K10022: arginine/ornithine transport system substrate-binding protein	0.085	0.129	0.111	0.127	0.025	0.086	0.0209	0.58	0.185	0.0749	0.684	0.0489	0.0264781973976515	0.867221812822402	0.209740175079158	0.0936365372766482	0.9956866689993	0.191809003215434	0.05	0.196
K10023: arginine/ornithine transport system permease protein	0.043	0.078	0.095	0.152	0	0	4.64e-05	0.029	0.202	0.00423	0.929	0.000264	9.70800838574424e-05	0.104513321492007	0.227572459744586	0.00644022261130565	0.9956866689993	0.00669317427385892	0.111	0.346
K10024: arginine/ornithine transport system permease protein	0.054	0.103	0.088	0.108	0	0	0.00298	0.237	0.11	0.0137	0.284	0.0206	0.00441415955473098	0.48280421686747	0.128664488854727	0.0192679990757856	0.9956866689993	0.111459733333333	0.072	0.302
K10025: arginine/ornithine transport system ATP-binding protein	0.083	0.076	0.066	0.067	0.018	0.05	0.00202	0.509	0.00287	0.0874	0.681	0.028	0.0030895938697318	0.806424518479958	0.00408743331773514	0.107933414485697	0.9956866689993	0.135052297939778	0.085	0.272
K10026: queuosine biosynthesis protein QueE	1.354	0.407	1.152	0.687	0	0	<2e-16	0.0997	1.7e-14	9.13e-13	0.423	1	NA	0.257258965663417	5.60254466702761e-14	3.05185667215815e-12	0.9956866689993	1	0.463	0.463
K10027: phytoene dehydrogenase	0.122	0.196	0.179	0.263	0	0	1.85e-05	0.383	0.0655	0.014	0.987	2.05e-05	4.13736694677871e-05	0.670305060379529	0.0786542710593806	0.0196717451523546	0.999103431210822	0.00155979375	0.126	0.412
K04228: arginine vasopressin receptor 2	0.015	0.06	0.079	0.124	0.401	0.279	<2e-16	0.0325	3.66e-15	4.95e-14	0.386	1	NA	0.113044285714286	1.34288245931284e-14	1.83835570469799e-13	0.9956866689993	1	0.513	0.513
K13612	0.005	0.011	0.02	0.041	0	0	0.0016	0.00295	0.577	0.00563	0.58	1	0.00248916601714731	0.0201307735426009	0.607226659751037	0.00839123653281097	0.9956866689993	1	0.091	0.091
K13613	0.006	0.011	0.02	0.042	0	0	0.00182	0.00613	0.546	0.00799	0.583	0.284	0.00280518918918919	0.0336459062218215	0.576296514652332	0.0116491329341317	0.9956866689993	0.572799204771372	0.086	0.14
K13611	0.067	0.103	0.083	0.077	0	0	0.000501	0.716	0.0221	0.0143	0.975	5.38e-10	0.000863181700474752	0.967649200710479	0.0284463311482343	0.0200654910096819	0.998386055843504	6.549612e-07	0.042	0.677
K13616	0.18	0.197	0.256	0.354	0.277	0.455	0.236	0.396	0.384	0.967	0.38	1	0.254762574364521	0.682460928652322	0.414875399361022	0.982003503503504	0.9956866689993	1	0.025	0.025
K13614	0.054	0.053	0.09	0.088	0.001	0.002	1.39e-05	0.0129	0.00289	9.62e-06	0.575	0.0766	3.19268124280783e-05	0.0576522026431718	0.00411495438596491	1.96302179014415e-05	0.9956866689993	0.252910563380282	0.14	0.264
K05794: tellurite resistance protein TerC	0.488	0.576	0.683	0.653	0	0	1.19e-06	0.239	0.00459	0.000479	0.694	1.31e-05	3.33133239831697e-06	0.485416416416416	0.00642135830843484	0.000827610843031507	0.9956866689993	0.00120817727272727	0.137	0.497
K05795: tellurium resistance protein TerD	0.962	0.541	0.714	0.651	0.084	0.335	9.94e-07	0.0895	5.74e-08	0.000961	0.226	0.000567	2.8122239546421e-06	0.237173051806704	1.13292412451362e-07	0.00159043148450245	0.9956866689993	0.01065225	0.175	0.456
K05796: electron transport protein HydN	0.967	0.432	1.108	0.545	0	0	<2e-16	0.29	3.58e-13	6.95e-13	0.99	0.00044	NA	0.556854889589905	8.97137093454096e-13	2.34115384615385e-12	0.999103431210822	0.0090592474916388	0.403	0.619
K05791: tellurium resistance protein TerZ	0.366	0.436	0.293	0.42	0.002	0.009	0.0056	0.684	0.00353	0.064	0.298	6.35e-05	0.00786600985221675	0.947543923532089	0.00498425191370912	0.0810249584026622	0.9956866689993	0.00299199461538462	0.06	0.472
K05792: tellurite resistance protein TerA	0.314	0.429	0.248	0.302	0.033	0.131	0.0228	0.71	0.021	0.179	0.683	9.61e-05	0.0286940731399748	0.964035244256079	0.0271107104984093	0.209856124807396	0.9956866689993	0.0036522	0.044	0.468
K05798: LysR family transcriptional regulator, transcriptional activator for	0.225	0.434	0.389	0.519	0	0	0.00117	0.181	0.129	0.0124	0.389	0.00384	0.00186155440414508	0.398606005788712	0.14965180102916	0.0175941258741259	0.9956866689993	0.0380066341463415	0.081	0.314
K05799: GntR family transcriptional regulator, transcriptional repressor for	1.436	0.376	1.401	0.576	0.066	0.262	<2e-16	0.919	3e-15	2.63e-14	0.138	0.0435	NA	1	1.12099447513812e-14	1.24061143984221e-13	0.9956866689993	0.179636702849389	0.566	0.642
K01474: N-methylhydantoinase B	0.225	0.286	0.239	0.33	0.045	0.179	0.00671	0.971	0.0549	0.0814	0.537	0.0343	0.00927825424315899	1	0.0668218956208758	0.101056863145013	0.9956866689993	0.153404922850845	0.067	0.231
K01476: arginase	1.085	0.41	1.006	0.386	0.248	0.524	9.84e-10	0.653	3.8e-11	1.63e-07	0.716	0.607	4.6707824019025e-09	0.925881900768693	8.81501524390244e-11	3.85313009708738e-07	0.9956866689993	0.921628585682215	0.273	0.308
K01470: creatinine amidohydrolase	1.46	0.389	1.111	0.7	0.092	0.37	<2e-16	0.00166	1.88e-14	2.63e-10	0.149	0.145	NA	0.0133128063241107	6.10648879402348e-14	7.44249651324965e-10	0.9956866689993	0.375900766609881	0.477	0.533
K01473: N-methylhydantoinase A	0.358	0.327	0.221	0.345	0	0	1.26e-05	0.1	9.45e-05	0.0614	0.0262	0.145	2.9226728646136e-05	0.257814485387548	0.000153720336718332	0.0779440667361835	0.9956866689993	0.375900766609881	0.179	0.284
K13039	0.219	0.326	0.187	0.309	0	0	0.00689	0.874	0.0222	0.124	0.0945	0.00226	0.00949098688750863	1	0.0285508979505599	0.148814668769716	0.9956866689993	0.0261532699619772	0.078	0.344
K01479: formiminoglutamase	0.24	0.343	0.346	0.397	0.004	0.015	0.00139	0.312	0.0275	0.00429	0.652	0.0193	0.00218116352201258	0.584711822660098	0.0348807043133986	0.00652178571428572	0.9956866689993	0.106605353901996	0.081	0.27
K01478: arginine deiminase	0.905	0.498	0.835	0.54	0.088	0.351	1.84e-09	0.786	2.62e-08	1.13e-05	0.899	0.00715	8.30914027149321e-09	1	5.24430779348898e-08	2.29124250499667e-05	0.9956866689993	0.0563204381443299	0.25	0.423
K05571: multicomponent Na+:H+ antiporter subunit G	0.242	0.442	0.253	0.409	0	0	0.0142	0.991	0.0791	0.127	0.574	0.0942	0.018482686664493	1	0.0941865610328639	0.152025368731563	0.9956866689993	0.288138391959799	0.057	0.223
K05572: NADH dehydrogenase I subunit 1	0.386	0.186	0.325	0.223	0.071	0.082	2.39e-09	0.274	1.04e-08	7.11e-05	0.37	0.0202	1.05307726269316e-08	0.53559344894027	2.12789243697479e-08	0.000133699629286376	0.9956866689993	0.11007824529991	0.252	0.444
K02078: acyl carrier protein	2.309	0.366	2.08	0.63	0.23	0.629	<2e-16	0.0565	1.67e-15	2.11e-15	0.957	1	NA	0.170170954972786	6.84531313131313e-15	1.80134221598878e-14	0.998386055843504	1	0.662	0.662
K05575: NADH dehydrogenase I subunit 4	0.722	0.224	0.614	0.288	0.562	0.223	0.00387	0.09	0.0368	0.766	0.469	0.124	0.00559950706777818	0.237670281995662	0.0459962217659138	0.804875194199896	0.9956866689993	0.342773841961853	0.083	0.202
K05576: NADH dehydrogenase I subunit 4L	0.577	0.374	0.42	0.386	0	0	3.65e-09	0.102	4.94e-08	0.000757	0.982	0.0224	1.55008510638298e-08	0.260981084489281	9.7851545720794e-08	0.00127253769676885	0.99856899432008	0.117745077720207	0.252	0.409
K08017: advillin	0.173	0.34	1.044	0.626	0.832	0.41	<2e-16	3.02e-14	8.74e-08	0.237	0.141	0.729	NA	1.89842079207921e-12	1.70459404037168e-07	0.272346422503304	0.9956866689993	1	0.45	0.463
K02075: zinc/manganese transport system permease protein	0.764	0.27	0.51	0.291	0.005	0.02	<2e-16	3.07e-05	2.12e-14	1.86e-08	0.334	0.198	NA	0.000566275454545455	6.79896733403583e-14	4.64580221583915e-08	0.9956866689993	0.456352139341159	0.469	0.523
K02076: Fur family transcriptional regulator, zinc uptake regulator	0.229	0.223	0.258	0.236	0.005	0.022	0.000453	0.806	0.000473	0.000722	0.773	1	0.000786250434782609	1	0.000724679335514724	0.00121706286347272	0.9956866689993	1	0.106	0.106
K02077: zinc/manganese transport system substrate-binding protein	1.039	0.305	0.791	0.346	0.113	0.247	<2e-16	7e-04	1.52e-14	2.56e-10	0.19	0.225	NA	0.00693957654723127	5.04759410801964e-14	7.24777674418605e-10	0.9956866689993	0.493718457101658	0.487	0.536
K02071: D-methionine transport system ATP-binding protein	1.681	0.224	1.617	0.271	0.116	0.27	<2e-16	0.432	1.67e-15	1.67e-15	0.757	0.00448	NA	0.725002481389578	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.041696880733945	0.818	0.863
K02072: D-methionine transport system permease protein	1.425	0.419	1.45	0.355	0.085	0.342	<2e-16	0.952	3e-15	2.1e-14	0.728	0.155	NA	1	1.12099447513812e-14	1.14745960502693e-13	0.9956866689993	0.389387123400743	0.55	0.612
K02073: D-methionine transport system substrate-binding protein	1.612	0.356	1.501	0.486	0.199	0.555	<2e-16	0.416	2.11e-15	2.94e-14	0.857	0.481	NA	0.704169076751947	8.15982846251588e-15	1.24061143984221e-13	0.9956866689993	0.796043230016313	0.547	0.573
K03309: dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family	0.754	0.306	0.706	0.361	0.015	0.036	7.66e-14	0.736	3.31e-14	5.94e-11	0.479	0.583	1.10536606498195e-12	0.982032441911442	8.92688081524147e-14	1.75603593977659e-10	0.9956866689993	0.898865501519757	0.38	0.414
K03308: neurotransmitter:Na+ symporter, NSS family	2.178	0.269	2.074	0.268	0.475	0.625	<2e-16	0.3	1.67e-15	1.67e-15	0.372	0.403	NA	0.569410664172123	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.713721559499564	0.728	0.744
K03305: proton-dependent oligopeptide transporter, POT family	1.87	0.294	1.668	0.414	0.292	0.526	<2e-16	0.0219	1.67e-15	2.55e-15	0.373	0.918	NA	0.0850703892788768	6.84531313131313e-15	2.1060854816825e-14	0.9956866689993	1	0.663	0.667
K03307: solute:Na+ symporter, SSS family	2.029	0.27	1.774	0.477	0.284	0.515	<2e-16	0.00265	1.67e-15	1.67e-15	0.503	1	NA	0.0185621979286536	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.705	0.705
K03306: inorganic phosphate transporter, PiT family	1.55	0.285	1.4	0.457	0.257	0.481	<2e-16	0.113	1.67e-15	2.72e-14	0.668	0.632	NA	0.282013530135301	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.944045153374233	0.576	0.594
K03300: citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family	0.656	0.436	0.608	0.452	0	0	4.52e-07	0.85	1.01e-07	2.19e-05	0.722	0.964	1.34957666417352e-06	1	1.9629214559387e-07	4.31688147668394e-05	0.9956866689993	1	0.196	0.199
K03303: lactate transporter, LctP family	1.344	0.339	1.194	0.485	0.056	0.223	<2e-16	0.134	1.89e-15	2.99e-14	0.439	1	NA	0.320116954474097	7.47526315789474e-15	1.24061143984221e-13	0.9956866689993	1	0.551	0.551
K03302: anaerobic C4-dicarboxylate transporter, Dcu family	0.204	0.135	0.151	0.163	0	0	2.99e-07	0.154	2.41e-07	0.00127	0.732	0.00796	9.23130703789637e-07	0.354806207418622	4.58857366280888e-07	0.00207085186177337	0.9956866689993	0.0598918665018541	0.19	0.403
K02121: V-type H+-transporting ATPase subunit E	1.553	0.472	1.324	0.549	0.109	0.437	<2e-16	0.0749	1.7e-14	1.48e-12	0.673	0.523	NA	0.207991012773723	5.60254466702761e-14	4.90139281828074e-12	0.9956866689993	0.838867193675889	0.473	0.504
K09650: rhomboid-like protein	0.892	0.384	0.81	0.528	0.449	0.603	0.00064	0.667	0.000904	0.0282	0.701	0.0445	0.00107573894736842	0.937434541676287	0.00134968064753495	0.0377758362676056	0.9956866689993	0.182282301480485	0.101	0.247
K06173: tRNA pseudouridine synthase A	2.116	0.329	1.981	0.273	0.145	0.433	<2e-16	0.144	1.67e-15	1.67e-15	0.151	0.508	NA	0.338166666666667	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.821955342902711	0.778	0.791
K06175: tRNA pseudouridine synthase C	0.563	0.316	0.557	0.4	0.043	0.117	2.81e-09	0.996	4.56e-08	3.08e-06	0.912	0.0914	1.21797176981542e-08	1	9.03833279062195e-08	6.57823157894737e-06	0.9956866689993	0.282986673448627	0.25	0.371
K06174: ATP-binding cassette, sub-family E, member 1	0.366	0.259	0.3	0.323	0.173	0.373	0.0398	0.527	0.0359	0.338	0.835	1	0.0480585601935874	0.821472215108835	0.0449266652960526	0.379035740604274	0.9956866689993	1	0.045	0.045
K06177: ribosomal large subunit pseudouridine synthase A	1.7	0.337	1.368	0.583	0.143	0.339	<2e-16	0.000442	1.67e-15	2.96e-14	0.84	0.472	NA	0.00487401086956522	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.78563412633306	0.608	0.629
K06189: magnesium and cobalt transporter	1.721	0.23	1.647	0.405	0.254	0.547	<2e-16	0.521	1.67e-15	1.67e-15	0.147	1	NA	0.815880370465655	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.68	0.68
K06179: ribosomal large subunit pseudouridine synthase C	1.52	0.334	1.385	0.471	0.203	0.368	<2e-16	0.208	1.67e-15	2.88e-14	0.78	0.216	NA	0.439769364362626	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.480728336380256	0.575	0.625
K06178: ribosomal large subunit pseudouridine synthase B	2.008	0.267	1.773	0.46	0.413	0.647	<2e-16	0.00972	1.67e-15	7.22e-15	0.543	0.433	NA	0.0475226024096385	6.84531313131313e-15	4.85614806629834e-14	0.9956866689993	0.74517133163698	0.647	0.665
K06631: polo-like kinase 1	0.031	0.085	0.104	0.251	0.142	0.274	0.0102	0.0864	0.0281	0.721	0.472	1	0.0136318714429193	0.230766476524792	0.035597232049948	0.762196422368878	0.9956866689993	1	0.067	0.067
K03838: threonine transporter	0.143	0.293	0.299	0.387	0	0	0.00016	0.0419	0.183	0.00499	0.459	0.000113	0.000305900383141762	0.136242147435897	0.207859861914536	0.00749238529847065	0.9956866689993	0.00388605084745763	0.089	0.412
K04829: amiloride-sensitive cation channel 2, neuronal	0.017	0.099	0.104	0.227	0.168	0.316	0.001	0.0422	0.00271	0.432	0.331	1	0.00161292929292929	0.13699808	0.00387133771415161	0.475340563991323	0.9956866689993	1	0.101	0.101
K10448: kelch-like protein 10	0.017	0.049	0.052	0.129	0.198	0.326	4.96e-06	0.402	1.18e-06	0.000913	0.0591	0.557	1.23597503121099e-05	0.688900337837838	2.1601984962406e-06	0.00151800901393062	0.9956866689993	0.873379443585781	0.184	0.207
K04824: sodium channel, nonvoltage-gated 1, alpha	0.039	0.156	0.402	0.323	1.365	0.099	<2e-16	6.03e-14	1.67e-15	1.67e-15	0.522	0.0905	NA	3.36739541284404e-12	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.281488758303526	0.826	0.85
K11618: two-component system, NarL family, response regulator LiaR	1.228	0.319	1.17	0.444	0.029	0.094	<2e-16	0.69	1.67e-15	1.9e-14	0.354	0.733	NA	0.950878424269866	6.84531313131313e-15	1.05139090909091e-13	0.9956866689993	1	0.571	0.588
K11614: two-component system, CitB family, sensor histidine kinase MalK	0.203	0.195	0.247	0.214	0	0	3.95e-05	0.519	0.000322	0.000157	0.77	0.383	8.35190677966102e-05	0.814424593967517	0.000500258805513017	0.000285783193779904	0.9956866689993	0.689535936113576	0.135	0.212
K11615: two-component system, CitB family, response regulator MalR	0.225	0.209	0.261	0.257	0.029	0.117	0.0011	0.696	0.00234	0.00182	0.382	0.723	0.00175929487179487	0.955469553450609	0.00337126153846154	0.00291458563535912	0.9956866689993	1	0.098	0.121
K11616: malate:Na+ symporter	0.279	0.366	0.323	0.433	0	0	0.00206	0.835	0.0133	0.0137	0.529	0.0541	0.00314354740061162	1	0.0176415558945304	0.0192679990757856	0.9956866689993	0.204538322981366	0.083	0.224
K11617: two-component system, NarL family, sensor histidine kinase LiaS	0.217	0.228	0.33	0.347	0	0	0.000184	0.0815	0.00325	8.26e-05	0.125	0.84	0.000347458845789972	0.220975723830735	0.00461136363636364	0.000154418366093366	0.9956866689993	1	0.13	0.142
K11962: urea transport system ATP-binding protein	0.073	0.091	0.072	0.106	0	0	0.00318	0.997	0.00797	0.0308	0.372	0.137	0.00468433948339483	1	0.0108798811392689	0.0410150076569678	0.9956866689993	0.361944010416667	0.083	0.199
K11963: urea transport system ATP-binding protein	0.218	0.118	0.204	0.136	0	0	1.14e-09	0.833	3.11e-10	3.03e-07	0.434	0.581	5.32266666666667e-09	1	6.84402386117137e-10	7.01811643835617e-07	0.9956866689993	0.896463117870722	0.272	0.312
K06793: chondroitin sulfate proteoglycan 2 (versican)	0.006	0.031	0.059	0.114	0.2	0.255	1.06e-09	0.0394	1.56e-10	5.37e-05	0.397	0.42	4.97825882352941e-09	0.130129028757461	3.49107352941176e-10	0.000101988112324493	0.9956866689993	0.730231362467866	0.276	0.305
K06792: aggrecan 1	0.02	0.093	0.052	0.113	0.368	0.32	8.14e-14	0.538	3.23e-14	9.19e-11	0.612	0.478	1.15230070921986e-12	0.831380045696877	8.76940677966102e-14	2.68295107913669e-10	0.9956866689993	0.79280272479564	0.379	0.41
K02837: peptide chain release factor RF-3	1.99	0.262	1.766	0.423	0.276	0.467	<2e-16	0.00481	1.67e-15	1.67e-15	0.828	1	NA	0.0283431461761859	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.727	0.727
K10563: formamidopyrimidine-DNA glycosylase	1.283	0.426	1.035	0.556	0.001	0.003	<2e-16	0.023	1.85e-14	1.13e-11	0.851	0.677	NA	0.0879403266331658	6.02189839572193e-14	3.49152791878173e-11	0.9956866689993	0.982570100143062	0.466	0.488
K10562: rhamnose transport system ATP-binding protein	0.271	0.15	0.237	0.121	0.008	0.025	1.87e-10	0.479	1.35e-10	1.03e-06	0.753	0.0828	1.01981420765027e-09	0.777305518528392	3.03338870431894e-10	2.28985025566107e-06	0.9956866689993	0.265265052631579	0.283	0.413
K02838: ribosome recycling factor	2.051	0.252	1.737	0.555	0.086	0.344	<2e-16	1e-04	1.67e-15	1.67e-15	0.933	0.903	NA	0.00148102189781022	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.762	0.764
K02839: peptide chain release factor RF-H	0.512	0.521	0.47	0.57	0	0	0.000637	0.92	0.000669	0.00929	0.193	0.00943	0.00107114743049705	1	0.00101197887673956	0.0134223190125801	0.9956866689993	0.0654508665906499	0.101	0.329
K06859: glucose-6-phosphate isomerase, archaeal	0.82	0.55	0.552	0.673	0	0	1.56e-07	0.0603	4.02e-07	0.00461	0.435	0.00478	5.11290640394089e-07	0.178004898157129	7.55705373687462e-07	0.00696823193444251	0.9956866689993	0.0438190662650602	0.205	0.411
K12700	0.433	0.332	0.5	0.382	0.075	0.3	3.47e-07	0.63	0.00043	0.00032	0.656	0.0021	1.05500685453161e-06	0.908722748815166	0.000661965098634294	0.000563122289679098	0.9956866689993	0.0247247582205029	0.17	0.416
K13035	0.075	0.113	0.081	0.121	0	0	0.0318	0.971	0.0288	0.0485	0.183	1	0.0390722068328717	1	0.0364233534178267	0.0623088856057408	0.9956866689993	1	0.059	0.059
K07559: putative RNA 2'-phosphotransferase	0.639	0.567	0.523	0.645	0	0	0.000184	0.595	0.000105	0.00868	0.659	0.665	0.000347458845789972	0.881422487223169	0.000170299760191847	0.0125887919942816	0.9956866689993	0.97327602789132	0.12	0.158
K07228: TrkA domain protein	0.466	0.34	0.472	0.436	0.076	0.303	4.83e-05	0.997	0.000252	0.00162	0.685	0.0906	0.000100791217982227	1	0.000395035797064126	0.00260664551942902	0.9956866689993	0.281512098009188	0.134	0.228
K07229	0.281	0.283	0.33	0.389	0.008	0.022	3.89e-06	0.71	0.00214	0.00177	0.776	0.000147	9.88471037555697e-06	0.964035244256079	0.00309631091038745	0.00283750065841454	0.9956866689993	0.00463621243523316	0.128	0.457
K07224: putative lipoprotein	0.229	0.379	0.273	0.468	0.072	0.286	0.183	0.857	0.295	0.229	0.75	0.547	0.200862249106406	1	0.324185773605344	0.263700908059024	0.9956866689993	0.863258750324086	0.024	0.066
K07222: putative flavoprotein involved in K+ transport	0.042	0.172	0.111	0.271	0	0	0.0325	0.191	0.686	0.141	0.13	0.0273	0.0398831847525361	0.414480213903743	0.713425935417734	0.167695779601407	0.9956866689993	0.13283381294964	0.05	0.286
K07223: putative iron-dependent peroxidase	0.879	0.498	0.782	0.567	0	0	2.62e-09	0.626	1.48e-09	2.93e-06	0.876	0.0469	1.14181659388646e-08	0.907252857142857	3.15432773109244e-09	6.27106540084388e-06	0.9956866689993	0.187939631336406	0.25	0.389
K07220: hypothetical protein	1.339	0.445	0.956	0.65	0	0	<2e-16	0.000619	2.48e-14	4.43e-09	0.893	1	NA	0.00633252605042017	7.78934984520124e-14	1.15731373390558e-08	0.9956866689993	1	0.448	0.448
K09931: hypothetical protein	0.269	0.408	0.143	0.319	0	0	0.00775	0.255	0.0214	0.435	0.778	0.235	0.0105734791524265	0.509247047244095	0.0275978389830508	0.478122968580715	0.9956866689993	0.506531515580737	0.07	0.172
K02911: large subunit ribosomal protein L32	1.988	0.458	1.692	0.826	0	0	<2e-16	0.0269	1.67e-15	2.81e-14	0.979	1	NA	0.0992365454545455	6.84531313131313e-15	1.24061143984221e-13	0.998386055843504	1	0.577	0.577
K10709: protein FrlC	0.778	0.512	0.705	0.553	0	0	3.52e-07	0.769	8.28e-08	2.88e-05	0.108	0.621	1.06939421613394e-06	1	1.61850867052023e-07	5.61516976297245e-05	0.9956866689993	0.932419092254563	0.211	0.248
K10708: fructoselysine 6-phosphate deglycase	0.376	0.418	0.384	0.411	0	0	0.000293	0.995	0.0016	0.0065	0.77	0.19	0.000530937812074444	1	0.00233722102231821	0.00958931168201648	0.9956866689993	0.442775650842266	0.109	0.248
K10700: ethylbenzene hydroxylase	0.028	0.091	0.008	0.01	0	0	0.337	0.419	0.352	0.943	0.241	0.727	0.355994707594602	0.707672863485017	0.382201926507314	0.963255747608659	0.9956866689993	1	0.024	0.135
K10702: 2-hydroxy-6-oxohepta-2,4-dienoate hydroxylase	0.041	0.083	0.093	0.16	0	0	0.0026	0.0412	0.285	0.00957	0.657	0.0808	0.00389902329075883	0.134540987124464	0.313819645441389	0.0137973922311701	0.9956866689993	0.260917559681698	0.078	0.182
K10705: glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	0.234	0.083	0.197	0.117	0.286	0.138	0.0167	0.17	0.123	0.0109	0.0961	0.875	0.0214568393949147	0.382123338257016	0.14304566297287	0.0155966854724965	0.9956866689993	1	0.074	0.084
K05985: ribonuclease M5	1.069	0.569	1.154	0.459	0	0	2.7e-12	0.724	8.53e-12	1.66e-10	0.495	0.106	2.2884076433121e-11	0.973059836608523	2.03376850763807e-11	4.7662358490566e-10	0.9956866689993	0.310352092352092	0.322	0.459
K02914: large subunit ribosomal protein L34	2.158	0.302	1.715	0.833	0.14	0.559	<2e-16	9.85e-05	1.67e-15	2.65e-14	0.676	1	NA	0.00146594009779951	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	1	0.632	0.632
K00980: glycerol-3-phosphate cytidylyltransferase	1.105	0.499	0.87	0.598	0	0	6.88e-12	0.0709	2.92e-13	3.17e-07	0.975	1	5.26148659003831e-11	0.200449744542499	7.34768085985945e-13	7.32288045540797e-07	0.998386055843504	1	0.328	0.328
