wgs	stoolMeans	stoolSDs	swabMeans	swabSDs	tissueMeans	tissueSDs	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
K10798: poly [ADP-ribose] polymerase	0.044	0.146	0.149	0.23	0.348	0.472	3.3605979936668e-06	0.0709425376226615	3.56163501857854e-06	0.013885925017964	0.66461246671995	0.67098567139777	5.9292637644782e-06	0.20057000766797	6.35394852229998e-06	0.0195204678023896	0.999248226209326	0.977842044933317
K10799: tankyrase	0.096	0.154	0.188	0.239	0.209	0.335	0.0239126288764014	0.0845587349872198	0.093454280534801	0.938100855523931	0.550439889464908	0.999885002238959	0.0285325249489485	0.22674406161551	0.110286197288742	0.959539557649835	0.999248226209326	0.999998145862406
K08031: paired box protein 6	0.016	0.069	0.124	0.171	0.987	0.154	1.43478883642004e-67	1.8957102810413e-05	1.66533453693773e-15	1.66533453693773e-15	0.378930523671833	0.415033970454968	4.36677982364439e-64	0.000385584497000253	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.726647189296508
K03518: carbon-monoxide dehydrogenase small subunit	1.512	0.424	1.435	0.542	0.086	0.344	3.05238398503641e-22	0.693941902117113	5.21804821573824e-15	2.83106871279415e-14	0.655386801121037	0.0718171983901007	1.08781389443306e-21	0.954251278321773	1.86726981124037e-14	1.23961984661357e-13	0.999248226209326	0.243402720824356
K03515: DNA repair protein REV1	0.036	0.069	0.052	0.095	0.115	0.313	0.0626498923666435	0.816740069728886	0.049952767175659	0.239428834358144	0.431160827228162	0.999921120720659	0.0706072754741268	0.999999996206915	0.0612042056759735	0.274878029939272	0.999248226209326	0.999998145862406
K03517: quinolinate synthase	1.881	0.363	1.785	0.201	0.269	0.59	5.19274407436659e-33	0.445984242234388	1.66533453693773e-15	1.88737914186277e-15	0.130752684497816	0.852466554435953	3.49542787524885e-32	0.742165042852003	6.8261894453468e-15	1.71983186175429e-14	0.999248226209326	0.999998145862406
K03510: DNA polymerase iota subunit	0.017	0.072	0.055	0.161	0.067	0.198	0.114939469938104	0.267024795410711	0.227107017471319	0.932339826114881	0.883246988018544	0.999953158852879	0.125743449589007	0.526524110678651	0.254024332110973	0.954127861728527	0.999248226209326	0.999998145862406
K03511: DNA polymerase kappa subunit	0.152	0.08	0.271	0.26	0.056	0.122	2.4577867824045e-06	0.000190099351419892	0.0274115954138604	4.00739995176647e-06	0.0115463719973296	0.999924177094814	4.36676828502516e-06	0.00247251015404463	0.0347830688522344	8.48158675466011e-06	0.999248226209326	0.999998145862406
K02206: cyclin-dependent kinase 2	0.025	0.064	0.072	0.186	0.216	0.237	3.2114548924695e-07	0.181941542902365	1.85306751721015e-07	0.000873761530902684	0.123195256104746	0.980401753054219	6.0222199416087e-07	0.399956002761538	3.54705093624471e-07	0.00145714696948072	0.999248226209326	0.999998145862406
K02205: arginine/ornithine permease	0.129	0.164	0.179	0.24	0.004	0.017	0.00629771439952913	0.367699894463288	0.0233806983298118	0.00459659583216621	0.765753314486647	0.00242903729526453	0.00814581120908071	0.652774851641524	0.029949139464134	0.00694969667918423	0.999248226209326	0.0274790980952077
K02203: phosphoserine / homoserine phosphotransferase	1.166	0.532	0.799	0.675	0	0	8.94427998264534e-13	0.00499246200600634	9.82658399095726e-13	1.48780569584339e-05	0.759689147520477	0.0317819226376341	2.20420373499442e-12	0.0292766052317539	2.42261712243649e-12	2.98296221034214e-05	0.999248226209326	0.146115228923927
K02202: cyclin-dependent kinase 7	0.056	0.13	0.086	0.236	0.238	0.354	0.00253400927773986	0.749481844045244	0.00161575816530923	0.0323007559994761	0.574798320873928	0.999874356533293	0.00345221899588239	0.991113618227981	0.00235967369295521	0.0429067598985717	0.999248226209326	0.999998145862406
K02201: pantetheine-phosphate adenylyltransferase	0.058	0.159	0.061	0.128	0	0	0.315157847155805	0.996072320595842	0.30107954840239	0.378418407270118	0.94113490593279	0.0406882538911917	0.329050740246549	0.999999996206915	0.330508784693481	0.421372904960014	0.999248226209326	0.171877876849005
K13714	0.095	0.139	0.098	0.164	0.037	0.148	0.317805494841083	0.995515484356735	0.304381682307561	0.379469817333045	0.847832962839833	0.99988866127035	0.331587598062679	0.999999996206915	0.333652314101589	0.422425883916477	0.999248226209326	0.999998145862406
K04984: transient receptor potential cation channel, subfamily A, member 1	0.034	0.104	0.075	0.201	0.056	0.193	0.355677356727316	0.344378785177031	0.822882026703558	0.897349594644995	0.217087005008704	0.893514980791059	0.369644539934979	0.627597936478288	0.846667156278661	0.924890969401605	0.999248226209326	0.999998145862406
K04985: polycystin 1	0.014	0.088	0.125	0.185	0.555	0.23	4.42304981729586e-30	0.000443327437335328	1.66533453693773e-15	2.78665979180914e-14	0.503632229953372	0.359645034171904	2.32898825587196e-29	0.0048798085190961	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.664993719017127
K12510: tight adherence protein B	1.292	0.414	1.04	0.681	0.077	0.306	3.67963417642905e-16	0.0358889391175564	3.04201108747293e-14	3.21975157646648e-09	0.864998265577939	0.692812262774904	1.02837159007914e-15	0.120946608077344	8.48160947682968e-14	8.52114254171803e-09	0.999248226209326	0.996961759695234
K12511: tight adherence protein C	1.061	0.453	0.966	0.617	0.09	0.361	4.30709683298303e-11	0.623034137010885	1.68783875764689e-11	1.02895540199377e-07	0.114364309234874	0.798522718404015	9.88600096557584e-11	0.904893531850456	3.97903738102115e-11	2.46727858034896e-07	0.999248226209326	0.999998145862406
K10793: D-proline reductase (dithiol) PrdA	0.412	0.354	0.459	0.389	0	0	3.34540456531204e-05	0.794936761321848	4.50817702937201e-05	9.57836247168498e-05	0.151677254599993	0.0450952154279804	5.50810862565712e-05	0.999999996206915	7.4976157316359e-05	0.000177863002944315	0.999248226209326	0.18360841224757
K07188: hormone-sensitive lipase	0.142	0.139	0.214	0.28	0.144	0.401	0.288955773616914	0.264063502946121	0.998922779318067	0.558493855207514	0.534527944278515	0.999860713854944	0.30262797556885	0.522716924368468	0.999939268255353	0.603828081109794	0.999248226209326	0.999998145862406
K07183: response regulator NasT	1.444	0.387	1.383	0.517	0.193	0.528	4.34742285086948e-19	0.788662436692183	2.23154827949656e-14	4.74065231514942e-14	0.947841729309154	0.44158404764001	1.37254994259557e-18	0.999999996206915	7.11547112482744e-14	1.77141501794441e-13	0.999248226209326	0.75439856805634
K07182: CBS domain-containing protein	0.257	0.259	0.252	0.317	0	0	0.0013072761821493	0.995827875126933	0.000933409716128653	0.00633422470092415	0.953581870274257	0.0101813275006455	0.00183943368486888	0.999999996206915	0.00139120101422015	0.00936517506789539	0.999248226209326	0.0689363075599882
K07181: putative signal transduction protein containing EAL and modified	0.488	0.4	0.404	0.462	0.069	0.277	0.000833758061859902	0.59279695124343	0.000521287016314376	0.0246133132420198	0.948480764019553	0.307014547432268	0.00119978376419414	0.879228811456813	0.000796254471343941	0.0333232290267292	0.999248226209326	0.602449242495233
K07180: serine protein kinase	0.19	0.362	0.394	0.488	0	0	0.0024668249193619	0.0285710427880879	0.135032024221933	0.00232321242509403	0.0389338458896347	0.0597873653965732	0.00336370145254388	0.103667709798682	0.156165059922482	0.00366927712287166	0.999248226209326	0.218180871204401
K07186: membrane protein	0.167	0.35	0.199	0.374	0.006	0.024	0.157892288536415	0.897324660656542	0.181480317817555	0.16368666826252	0.869112823679221	0.0395211750628263	0.170315498905043	0.999999996206915	0.206326241045098	0.192868902383654	0.999248226209326	0.168581214160774
K07185: tryptophan-rich sensory protein	1.045	0.573	0.682	0.586	0	0	1.21426046354047e-10	0.00645184220123762	1.7167522958772e-10	0.000315809189644356	0.759750809755339	0.0163092233072329	2.73849701429079e-10	0.0349709380934403	3.83200264943327e-10	0.000555908194726777	0.999248226209326	0.0951102821107129
K07184: SH3 domain protein	0.228	0.371	0.318	0.46	0.108	0.432	0.238937977420673	0.541527590802017	0.500032361700607	0.212436221710716	0.693539381049155	0.106001961186809	0.252415041402228	0.834551288121444	0.53063057630258	0.246351549162341	0.999248226209326	0.310837527789566
K09800: hypothetical protein	0.434	0.357	0.538	0.462	0.043	0.174	9.20934408327515e-05	0.379672047806065	0.000353736705258512	9.00847950335848e-05	0.532386262161119	2.64528772540243e-05	0.000146401873687375	0.666204599306865	0.000547886851121771	0.000167638687670263	0.999248226209326	0.0017517237543473
K09803: hypothetical protein	0.491	0.604	0.735	0.739	0	0	0.00069845928892694	0.142619056839711	0.00799306631415897	0.000423015512968639	0.290451707592776	0.0266470267010934	0.00101444087131908	0.33622083616705	0.0109089225682255	0.00073484458545665	0.999248226209326	0.131656210657107
K09806: hypothetical protein	0.453	0.626	0.467	0.665	0	0	0.0184662948912802	0.993083922735482	0.015978906705619	0.0374602214431683	0.400774449783264	0.0703519654916649	0.0223690222891985	0.999999996206915	0.0209529524164375	0.0492321291671273	0.999248226209326	0.239771788324616
K09807: hypothetical protein	1.303	0.414	1.13	0.517	0	0	2.78662567961917e-21	0.128926613064453	8.32667268468867e-15	5.95079541199084e-14	0.498057659412623	0.999841311612515	9.59942869940117e-21	0.311914266185741	2.90122819872352e-14	2.19397284511134e-13	0.999248226209326	0.999998145862406
K09808: lipoprotein-releasing system permease protein	1.878	0.29	1.641	0.526	0.223	0.472	1.11631733003968e-33	0.00919550212042641	1.66533453693773e-15	3.44169137633799e-15	0.737994055764309	0.99981663891247	7.984751572211e-33	0.0456177843578122	6.8261894453468e-15	2.64514841007188e-14	0.999248226209326	0.999998145862406
K09809: CDP-glycerol glycerophosphotransferase	0.898	0.397	0.679	0.487	0	0	2.37423456885046e-13	0.0288504798680651	1.53765888910584e-13	5.93880126631419e-07	0.49717948493553	0.0257096464965518	5.98177393236456e-13	0.104246406039847	3.92112679429713e-13	1.34735308639786e-06	0.999248226209326	0.128657010809735
K10912: two-component system, repressor protein LuxO	0.459	0.176	0.283	0.214	0.028	0.071	5.59895638787989e-16	2.28123911036882e-05	3.31956684362922e-14	2.83940838748942e-05	0.767047103403374	0.00910353728927188	1.5554928130089e-15	0.000449074657906906	8.94079795450046e-14	5.53957655597695e-05	0.999248226209326	0.0636677262741233
K10914: CRP/FNR family transcriptional regulator, cyclic AMP receptor	0.655	0.449	0.769	0.594	0	0	4.25359246733955e-07	0.480272557937883	1.28007984689926e-06	1.03451901178886e-06	0.42594043911408	0.0268010370725959	7.92034791945421e-07	0.778371625833396	2.33989370212487e-06	2.2998967219718e-06	0.999248226209326	0.132008707811297
K10916: two-component system, CAI-1 autoinducer sensor kinase/phosphatase	0.117	0.1	0.101	0.106	0	0	6.78085496055452e-05	0.714456915588282	3.62114039030859e-05	0.0028138196544476	0.49416874779227	0.679719615094001	0.000109135547712574	0.967238870291493	6.06545997683224e-05	0.00438722342126602	0.999248226209326	0.98510792787552
K11358: aspartate aminotransferase	1.354	0.388	1.16	0.515	0.112	0.296	2.38726091602798e-20	0.072401706278982	1.32116539930394e-14	4.9693582582222e-13	0.657133048542344	0.9981515865718	7.940577702657e-20	0.203360942303134	4.44305734009009e-14	1.69459292536686e-12	0.999248226209326	0.999998145862406
K11354: two-component system, chemotaxis family, sensor kinase Cph1	0.097	0.089	0.068	0.07	0	0	7.04269508872893e-05	0.231280734803115	5.34962963624208e-05	0.0213342408060279	0.892101526350484	0.382417510084383	0.000113222960061861	0.475861344978907	8.86073349545729e-05	0.0291627046454731	0.999248226209326	0.689173759272719
K11357: two-component system, PleD family, sensor histidine kinase DivJ	1.023	0.254	0.858	0.32	0.054	0.188	1.31566081457653e-26	0.0104340319401842	1.66533453693773e-15	3.00870439673417e-14	0.410290561400831	0.127375362642	5.6676768424114e-26	0.0502467978005549	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.347797672851249
K11356: two-component system, sensor histidine kinase and response regulator	0.443	0.161	0.377	0.184	0.012	0.043	2.19221959836881e-17	0.128155637335199	2.91988655476416e-14	4.27001767278057e-11	0.515294559115091	0.0479976619799945	6.4651359957708e-17	0.310605898905234	8.48160947682968e-14	1.27660105963729e-10	0.999248226209326	0.190445219552949
K10795: D-proline reductase (dithiol) PrdD	0.298	0.327	0.253	0.308	0	0	0.0017762713275345	0.774910957318197	0.00110563876674719	0.0232320729579812	0.111775117926699	0.077302372325322	0.00246066535518947	0.999999996206915	0.00163667878725441	0.0316008107475378	0.999248226209326	0.25434569748337
K14327	0.057	0.118	0.112	0.199	0.128	0.289	0.121073939047361	0.26816135115261	0.241755451351429	0.942587410927283	0.391439409992199	0.999888283503237	0.132098416737997	0.528080926711723	0.269320174300173	0.962834296075579	0.999248226209326	0.999998145862406
K14326	0.895	0.302	0.821	0.413	0.469	0.456	6.19028098344765e-05	0.580336663262029	3.35457277631512e-05	0.00429316208411501	0.987219210360789	0.00590830856648269	0.000100080319644743	0.867725195105864	5.63757164258149e-05	0.00652822323407646	0.999248226209326	0.0502288746427097
K04069: pyruvate formate lyase activating enzyme	2.227	0.269	1.993	0.398	0.39	0.716	3.94483269220162e-38	0.0101577632760987	1.66533453693773e-15	1.66533453693773e-15	0.37321545835832	0.742680831438637	4.30326103896618e-37	0.0492279498898193	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K04068: anaerobic ribonucleoside-triphosphate reductase activating protein	2.078	0.27	1.792	0.535	0.118	0.449	2.43836735407551e-42	0.000784092969645767	1.66533453693773e-15	1.66533453693773e-15	0.499937681865641	0.562323906785963	4.48409126412616e-41	0.00761207959526919	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.878088471829692
K04067: primosomal replication protein N"	0.354	0.344	0.352	0.408	0	0	0.000667543811188981	0.999535396194448	0.000484823775236509	0.00340280701070483	0.76089730307737	0.0426774946762613	0.000971161371583969	0.999999996206915	0.000741860814445609	0.00524642509477212	0.999248226209326	0.177455714517372
K04066: primosomal protein N' (replication factor Y) (superfamily II	2.073	0.155	1.849	0.247	0.221	0.509	1.52006613564931e-59	6.0862945920781e-05	1.66533453693773e-15	1.66533453693773e-15	0.539197578068593	0.999868726480071	1.15658032096217e-56	0.000974928294262616	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K04061: flagellar biosynthesis protein	0.632	0.596	0.669	0.689	0	0	0.000310707437193881	0.952845218200286	0.000286674686024946	0.00106499228874868	0.633220186170897	0.668478311979338	0.000469765566368394	0.999999996206915	0.000447547785030481	0.00175395239762262	0.999248226209326	0.976020025190269
K10006: glutamate transport system permease protein	0.168	0.316	0.082	0.19	0	0	0.044879874571558	0.309158990640433	0.0630347334701405	0.608969019918681	0.0986065881833541	0.328778383276776	0.0515059839293341	0.581384880998503	0.0759486188900921	0.653755630378309	0.999248226209326	0.628829241710214
K10007: glutamate transport system permease protein	0.218	0.332	0.118	0.223	0.001	0.005	0.0141384754914054	0.254630516802305	0.0188115530476025	0.412309174137705	0.183321077000479	0.744671688510087	0.0174707471206221	0.508636518445114	0.0244201158884104	0.455651042660895	0.999248226209326	0.999998145862406
K10004: glutamate/aspartate transport system ATP-binding protein	0.947	0.275	0.747	0.422	0.044	0.11	1.8281276403242e-20	0.00565036005688868	1.34336985979644e-14	1.71537228865759e-11	0.268436999888438	0.248125416973493	6.11418293772164e-20	0.0317541895970108	4.51274411511089e-14	5.24960840676659e-11	0.999248226209326	0.525152786202243
K10005: glutamate transport system substrate-binding protein	0.335	0.318	0.319	0.253	0.023	0.092	0.000471866350815724	0.96130550758982	0.000300466156682555	0.0040275260120628	0.321011882422937	0.179138635515742	0.000697995255750987	0.999999996206915	0.000468477842143113	0.00615195754966782	0.999248226209326	0.42644383042015
K10002: glutamate/aspartate transport system permease protein	0.358	0.344	0.535	0.472	0.007	0.022	2.89179337480709e-05	0.0550667888184215	0.00101115290713272	1.52982572330096e-05	0.690535041565971	0.00333913570240664	4.78762400604607e-05	0.167512015760985	0.00150229137068998	3.06116015047105e-05	0.999248226209326	0.0338191664235428
K10003: glutamate/aspartate transport system permease protein	0.252	0.348	0.365	0.429	0	0	0.00436885795504443	0.284327626658741	0.0219996110260824	0.00299443335812932	0.64366715440843	0.0129834690304808	0.00576484681819975	0.550274879728257	0.0283290950530492	0.00465096092139147	0.999248226209326	0.0808908659043363
K10000: arginine transport system ATP-binding protein	0.507	0.305	0.497	0.321	0.003	0.012	1.07221480225893e-08	0.986186556106008	6.42379160975537e-09	8.39402472530004e-07	0.345337324346958	1.3556848783399e-05	2.17552383378337e-08	0.999999996206915	1.33179903026502e-08	1.87847163613608e-06	0.999248226209326	0.0012135373315375
K10001: glutamate/aspartate transport system substrate-binding protein	0.229	0.352	0.362	0.459	0	0	0.00660935227597434	0.192535821192042	0.0502752528984011	0.00443354383459482	0.80000412717112	0.0236957429175992	0.00852535013855813	0.417207756606406	0.0615745401192288	0.00671819301000216	0.999248226209326	0.121923911360462
K01889: phenylalanyl-tRNA synthetase alpha chain	2.062	0.246	1.783	0.439	0.284	0.51	7.15171894942525e-42	0.000330653803750192	1.66533453693773e-15	1.66533453693773e-15	0.499643128046156	0.392185318827951	1.23671912628271e-40	0.00390056144075081	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.70130200813917
K10008: glutamate transport system ATP-binding protein	0.915	0.225	0.743	0.349	0.121	0.28	1.36290137309592e-20	0.00695266579056175	1.29896093881143e-14	1.01895158977072e-11	0.785632692142705	0.734417936231145	4.58594840134597e-20	0.0370910400237944	4.38777759963662e-14	3.16124277621528e-11	0.999248226209326	0.999998145862406
K10009: cystine transport system permease protein	0.859	0.276	0.804	0.305	0.018	0.066	2.52154864123458e-21	0.601201677947377	8.54871728961371e-15	2.98649993624167e-14	0.750490688352492	0.170090351704234	8.70599352194831e-21	0.886248636086765	2.97178995670352e-14	1.23961984661357e-13	0.999248226209326	0.412749437662707
K14588	0.179	0.328	0.297	0.406	0	0	0.0174712036793822	0.217818927323142	0.111118860804398	0.0126435968675159	0.927259962763726	0.00017213546098711	0.0212439506185377	0.454513320616644	0.129923262719241	0.0179272243495387	0.999248226209326	0.00518707203479476
K14585	0.002	0.006	0.002	0.004	0	0	0.389435474602498	0.999794702389686	0.368406180514667	0.469086702464445	0.347959837934416	0.999792058309177	0.402597441220348	0.999999996206915	0.39901929195601	0.513271752274147	0.999248226209326	0.999998145862406
K14581	0.013	0.04	0.018	0.029	0	0	0.277371296937852	0.768460326126263	0.392719181352591	0.249928318684533	0.707018927362836	0.254529757917959	0.291297288554297	0.999999996206915	0.42346884975965	0.285907475255169	0.999248226209326	0.535727052713214
K02585: nitrogen fixation protein NifB	0.203	0.319	0.241	0.366	0	0	0.035082966990219	0.835698281152774	0.0443683215081629	0.0390097877929571	0.32123575225349	0.162955303033494	0.0408629965689749	0.999999996206915	0.0548254106821331	0.0510431165725988	0.999248226209326	0.402233953594841
K13678	0.533	0.353	0.409	0.44	0	0	6.30704366769178e-07	0.233170704439687	3.46670474438149e-07	0.000940284640195244	0.693009769988128	0.273069508727286	1.16336287288606e-06	0.4774435991631	6.54117538098268e-07	0.0015586907965328	0.999248226209326	0.560974821088122
K13679	0.056	0.037	0.064	0.049	0.01	0.04	5.61982387731874e-05	0.601741800230947	0.00011741262323528	9.18635544752133e-05	0.207634653562195	0.6142082678191	9.10267906898329e-05	0.886662391189972	0.000189650790367356	0.000170844319001107	0.999248226209326	0.927943838722974
K13670	0.23	0.264	0.14	0.16	0	0	0.00088197532289117	0.176332189745421	0.00101321969564971	0.134421999252858	0.780390888949591	0.115695160334618	0.00126528017686508	0.39082712792318	0.00150462754023416	0.160405157704792	0.999248226209326	0.328162367640644
K13676	0.106	0.251	0.108	0.239	0.694	0.756	1.13396826444444e-08	0.999652087192532	7.57518570093652e-09	6.26752511556639e-07	0.781947174930457	0.549378251685968	2.29775793131602e-08	0.999999996206915	1.56358614315363e-08	1.41823142670827e-06	0.999248226209326	0.865441360769277
K13677	0.293	0.372	0.263	0.373	0	0	0.0101262107996755	0.918452838713229	0.00704890602179553	0.0489297305091534	0.739585545376605	0.0111483812436032	0.0127615414363612	0.999999996206915	0.00968329743955527	0.062847704074534	0.999248226209326	0.0727746266911898
K04781: salicylate synthetase	0.03	0.11	0.158	0.309	0	0	0.000829834033022838	0.0011705436175683	0.772694165099766	0.00733859818859661	0.311701556808015	0.0220957130885047	0.00119441942752661	0.0103262304349829	0.798809338138974	0.010769056695754	0.999248226209326	0.116851959660928
K13582	0.178	0.129	0.165	0.119	0.012	0.047	6.7025495216496e-06	0.881723352343889	3.54577834038583e-06	0.000256628641857826	0.737927898280481	0.488621997705009	1.15773038984907e-05	0.999999996206915	6.32937031024298e-06	0.000457556690974981	0.999248226209326	0.803849216224429
K13581	1.092	0.351	0.957	0.472	0.085	0.339	8.27399028472806e-17	0.220239004999745	2.95319324550292e-14	4.33141300604234e-11	0.877041066539304	0.0654671418737429	2.38917357035767e-16	0.458479761776145	8.48160947682968e-14	1.29368552344356e-10	0.999248226209326	0.230425884295545
K13587	0.498	0.211	0.369	0.26	0.038	0.152	3.68000856534759e-12	0.0166586513185105	2.69884115056129e-12	9.07105115210971e-06	0.607819498801648	0.775520021614643	8.82593070814451e-12	0.069908045119902	6.5632625183646e-12	1.8566068716507e-05	0.999248226209326	0.999998145862406
K13584	0.697	0.261	0.548	0.325	0.002	0.008	7.98708162307706e-17	0.0236692989014763	2.98649993624167e-14	1.82106940638249e-09	0.510006287336179	0.0135703743604647	2.30742125484908e-16	0.0900880487376242	8.48160947682968e-14	4.90914502951737e-09	0.999248226209326	0.0830179585247726
K13589	0.847	0.327	0.826	0.42	0.011	0.044	9.67591806028335e-16	0.953526374941715	3.03090885722668e-14	3.02569080901094e-12	0.708767909352955	0.60277599167038	2.66022191657384e-15	0.999999996206915	8.48160947682968e-14	9.76531280723732e-12	0.999248226209326	0.918882409541098
K05556: hydroxylacyl-CoA dehydrogenase	0.014	0.028	0.01	0.022	0.005	0.019	0.365944081341672	0.755299584343684	0.377290951281419	0.786263193508098	0.561275496651631	0.828560183021053	0.379472167483264	0.99374498213511	0.408134000435401	0.823749407725266	0.999248226209326	0.999998145862406
K02050: sulfonate/nitrate/taurine transport system permease protein	1.813	0.381	1.778	0.273	0.147	0.405	4.22684930093479e-35	0.895275793051731	1.66533453693773e-15	1.66533453693773e-15	0.141802783019381	0.0908033546289584	3.35010829359246e-34	0.999999996206915	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.282000010013505
K02056: simple sugar transport system ATP-binding protein	1.843	0.295	1.781	0.303	0.179	0.465	2.20165557269788e-40	0.634067575936534	1.66533453693773e-15	1.66533453693773e-15	0.739587522426026	0.169580540151276	3.1311863250028e-39	0.91199653467053	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.412399819377075
K02057: simple sugar transport system permease protein	2.06	0.317	2.034	0.299	0.249	0.495	6.60419926780296e-42	0.927573169253416	1.66533453693773e-15	1.66533453693773e-15	0.698236466230452	0.00851087614686229	1.14856459837476e-40	0.999999996206915	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.0617469643694288
K02055: putative spermidine/putrescine transport system substrate-binding	0.769	0.33	0.748	0.459	0.028	0.076	2.20577394227135e-12	0.95697571323116	1.24933396961069e-12	1.45431222620118e-09	0.463704170043241	0.00121563163912842	5.34496257428572e-12	0.999999996206915	3.07012348527261e-12	3.94667789607071e-09	0.999248226209326	0.0176822395688171
K02058: simple sugar transport system substrate-binding protein	1.633	0.267	1.555	0.447	0.226	0.476	2.83512938661605e-31	0.529170759696299	1.66533453693773e-15	2.33146835171283e-15	0.827718736099481	0.999849268523528	1.65301078317356e-30	0.82380112896966	6.8261894453468e-15	1.93346701047357e-14	0.999248226209326	0.999998145862406
K02059: putative sulfate transport system ATP-binding protein	0.224	0.112	0.151	0.107	0.008	0.018	7.50303324133604e-12	0.00396129824208125	1.05127018201756e-11	8.47592999230207e-05	0.495311094374928	0.0239852646171151	1.78402200546924e-11	0.0246890049980325	2.49866520809875e-11	0.000158066745904236	0.999248226209326	0.122997730180606
K05559: multicomponent K+:H+ antiporter subunit A	0.199	0.174	0.314	0.297	0.054	0.054	0.00019120494336299	0.0187718425207732	0.018936491111764	0.000124646218834457	0.22017987264228	0.146089858638242	0.000294798503102969	0.0761253866915035	0.024577062131622	0.000229359593121323	0.999248226209326	0.378242862412156
K03893: arsenical pump membrane protein	0.61	0.437	0.608	0.498	0	0	1.34833893594788e-06	0.999632335124308	9.08140844302352e-07	2.67708027117397e-05	0.0404086055455363	0.199235645226025	2.43613508551937e-06	0.999999996206915	1.67105602154426e-06	5.23462499538579e-05	0.999248226209326	0.458332340321548
K03892: ArsR family transcriptional regulator	2.029	0.377	1.938	0.521	0.102	0.406	5.87663848996241e-36	0.555352911926902	1.66533453693773e-15	1.66533453693773e-15	0.19982382433683	0.541815929336527	5.0667278312183e-35	0.846166001226295	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.858279537008362
K08115: chondroitin sulfate proteoglycan 4	0.029	0.113	0.191	0.227	0.657	0.311	1.17837151809892e-26	5.59480471694629e-05	1.66533453693773e-15	6.31716901011714e-14	0.703179912734486	0.999898898259285	5.09428084564498e-26	0.000917940062319463	6.8261894453468e-15	2.32201737708835e-13	0.999248226209326	0.999998145862406
K00125: formate dehydrogenase, beta subunit	0.35	0.368	0.289	0.357	0	0	0.00116970001862888	0.689309504974939	0.000721066630645417	0.0228231650521498	0.275187505191723	0.269655654684265	0.00165503580041701	0.95125337358414	0.0010877651996874	0.0310654306065375	0.999248226209326	0.555591760547746
K02422: flagellar protein FliS	0.776	0.604	0.748	0.693	0.208	0.57	0.00360400317055745	0.974698856720674	0.00250704876332608	0.0170611284666834	0.590191433055635	0.999798507371751	0.00481192526852011	0.999999996206915	0.00359830366007212	0.0236886608067294	0.999248226209326	0.999998145862406
K02421: flagellar biosynthetic protein FliR	0.571	0.491	0.76	0.54	0.081	0.323	7.2035699667598e-05	0.16762666802027	0.000730457078693569	4.71711323710711e-05	0.172892945227902	0.00806228466327438	0.000115724809679775	0.378606132927416	0.00110165813627546	9.01792345297455e-05	0.999248226209326	0.0601410866977342
K12989	0.69	0.257	0.551	0.304	0.038	0.152	1.28808197629253e-15	0.0355893528993656	3.00870439673417e-14	8.58214466159524e-09	0.438560933158443	0.999845039886382	3.51752130538028e-15	0.120217753106792	8.48160947682968e-14	2.18941804505994e-08	0.999248226209326	0.999998145862406
K12988	0.707	0.291	0.609	0.366	0.065	0.26	9.94290378748149e-12	0.293174954489991	3.64075436465328e-12	2.10518863563713e-07	0.499492550011897	0.958072036656599	2.35312812419906e-11	0.561004699145104	8.81514392109964e-12	4.92289021326286e-07	0.999248226209326	0.999998145862406
K02420: flagellar biosynthetic protein FliQ	0.402	0.578	0.576	0.725	0	0	0.00703551891805057	0.339247178239578	0.0285871988482521	0.0050148910941954	0.173987411182691	0.903695542137689	0.0090443935911666	0.621130008570229	0.0361918218363791	0.00752604588026809	0.999248226209326	0.999998145862406
K02427: cell division protein methyltransferase FtsJ	0.444	0.517	0.349	0.468	0.088	0.354	0.0283073654275385	0.64408346581359	0.0229853358281329	0.215094111377112	0.890720736152234	0.00216601945788851	0.0335097108824245	0.918542812434876	0.029502593881921	0.249054186028625	0.999248226209326	0.0252577786210103
K12983	1.406	0.274	1.304	0.344	0.07	0.279	5.11092924194729e-35	0.232012422475532	1.66533453693773e-15	1.66533453693773e-15	0.668688901774734	0.999854686805446	4.02460883515306e-34	0.476629759948109	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
