Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Rickettsia slovaca str. D-CWPP	PRJNA158159	1386	1347	1.2757	32.5	1	n.d.	bio15815	Rickettsia slovaca	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Rickettsia typhi str. B9991CWPP	PRJNA158357	875	839	1.1130	28.9	1	n.d.	bio15835	Rickettsia typhi	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Rickettsia typhi str. TH1527	PRJNA158161	874	838	1.1124	28.9	1	n.d.	bio15816	Rickettsia typhi	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Rickettsia typhi str. Wilmington	PRJNA58063	918	837	1.1115	28.9	1	n.d.	bio58063	Rickettsia typhi	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Riemerella anatipestifer ATCC 11845 = DSM 15868	PRJNA60727	2052	1972	2.1551	35	6	99.80	bio60727	Riemerella anatipestifer	Riemerella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Riemerella anatipestifer RA-GD	PRJNA49039	2091	1985	2.1664	35	3	99.78	bio49039	Riemerella anatipestifer	Riemerella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Robiginitalea biformata HTCC2501	PRJNA58285	3257	3209	3.5304	55.3	2	99.47	bio58285	Robiginitalea biformata	Robiginitalea	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Roseburia hominis A2-183	PRJNA73419	3432	3362	3.5921	48.5	4	99.78	bio73419	Roseburia hominis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	
Roseiflexus castenholzii DSM 13941	PRJNA58287	4509	4330	5.7233	60.7	2	99.53	bio58287	Roseiflexus castenholzii	Roseiflexus	Chloroflexaceae	Chloroflexales	Chloroflexi	Chloroflexi	
Roseobacter denitrificans OCh 114	PRJNA58597	4191	4129	4.3312	58.9096	1	n.d.	bio58597	Roseobacter denitrificans	Roseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Roseobacter litoralis Och 149	PRJNA54719	4668	4537	4.7455	57.2249	1	n.d.	bio54719	Roseobacter litoralis	Roseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Rothia mucilaginosa DY-18	PRJNA43093	1964	1904	2.2646	59.6	3	100.00	bio43093	Rothia mucilaginosa	Rothia	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Rubrivivax gelatinosus IL144	PRJNA158163	4767	4693	5.0433	71.2	3	99.87	bio15816	Rubrivivax gelatinosus	Rubrivivax	other Burkholderiales	Burkholderiales	Betaproteobacteria	Proteobacteria	
Rubrobacter xylanophilus DSM 9941	PRJNA58057	3281	3140	3.2258	70.5	1	n.d.	bio58057	Rubrobacter xylanophilus	Rubrobacter	Rubrobacteraceae	Rubrobacterales	Actinobacteria	Actinobacteria	
Ruegeria pomeroyi DSS-3	PRJNA57863	4348	4252	4.6011	64.0504	3	99.77	bio57863	Ruegeria pomeroyi	Ruegeria	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Ruminococcus albus 7	PRJNA51721	4104	3872	4.4821	43.6142	4	99.72	bio51721	Ruminococcus albus	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	
Ruminococcus champanellensis 18P13	PRJNA39179	2162	2114	2.5732	53.3	1	n.d.	bio39179	Ruminococcus champanellensis	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	
Runella slithyformis DSM 19594	PRJNA68317	6023	5774	6.9197	46.4335	2	100.00	bio68317	Runella slithyformis	Runella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	
Saccharomonospora azurea NA-128	PRJNA75103	4530	4376	9.5182	32.018	1	n.d.	bio75103	Saccharomonospora azurea	Saccharomonospora	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Saccharomonospora cyanea NA-134	PRJNA83011	5196	5046	5.4079	69.7	3	99.78	bio83011	Saccharomonospora cyanea	Saccharomonospora	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Saccharomonospora marina XMU15	PRJNA83009	5784	5578	5.9649	68.9	3	99.22	bio83009	Saccharomonospora marina	Saccharomonospora	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Saccharomonospora viridis DSM 43017	PRJNA59055	3964	3828	4.3084	67.3	3	99.78	bio59055	Saccharomonospora viridis	Saccharomonospora	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Saccharophagus degradans 2-40	PRJNA57921	4067	4007	5.0575	45.8	2	99.67	bio57921	Saccharophagus degradans	Saccharophagus	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Saccharopolyspora erythraea NRRL 2338	PRJNA62947	7264	7197	8.2128	71.1	4	99.72	bio62947	Saccharopolyspora erythraea	Saccharopolyspora	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Salinibacter ruber DSM 13855	PRJNA58513	2898	2833	3.5873	66.1179	1	n.d.	bio58513	Salinibacter ruber	Salinibacter	Rhodothermaceae	Bacteroidetes Order II. Incertae sedis	other Bacteroidetes	Bacteroidetes	
Salinibacter ruber M8	PRJNA47323	3303	3257	3.8329	65.8339	1	n.d.	bio47323	Salinibacter ruber	Salinibacter	Rhodothermaceae	Bacteroidetes Order II. Incertae sedis	other Bacteroidetes	Bacteroidetes	
Salinispora arenicola CNS-205	PRJNA58659	5172	4917	5.7864	69.5	3	99.78	bio58659	Salinispora arenicola	Salinispora	Micromonosporaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Salinispora tropica CNB-440	PRJNA58565	4654	4536	5.1833	69.5	3	99.78	bio58565	Salinispora tropica	Salinispora	Micromonosporaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Salmonella bongori NCTC 12419	PRJNA70155	4054	3863	4.4601	51.3	7	99.21	bio70155	Salmonella bongori	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- str. RSK2980"	PRJNA58191	4692	4500	4.6008	51.4	7	98.85	bio58191	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Agona str. SL483	PRJNA59431	4936	4614	4.8366	52.0105	7	99.10	bio59431	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	PRJNA58917	5075	4616	4.9175	52.1454	7	99.72	bio58917	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	PRJNA59247	4420	4206	4.6859	52.2	7	99.80	bio59247	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	PRJNA59249	4371	3965	4.6587	52.2	7	99.85	bio59249	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078	PRJNA87035	4682	4325	4.6380	52.2	7	99.81	bio87035	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Heidelberg str. B182	PRJNA88529	4626	4332	4.7881	52.1137	6	97.66	bio88529	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476	PRJNA58973	5111	4780	4.9835	52.069	7	99.08	bio58973	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	PRJNA58017	4882	4627	4.9440	52.1737	7	98.87	bio58017	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Newport str. SL254	PRJNA58831	5114	4806	5.0077	52.2145	7	99.72	bio58831	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601	PRJNA59269	4409	4074	4.5818	52.2	7	99.82	bio59269	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	PRJNA58201	4402	4091	4.5852	52.2	7	99.81	bio58201	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	PRJNA59097	5771	5591	4.8589	52.1	7	99.50	bio59097	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594	PRJNA59063	4892	4636	4.8885	52.2068	7	99.44	bio59063	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633	PRJNA58915	4934	4628	4.8239	52.2367	7	99.24	bio58915	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhi str. CT18	PRJNA57793	5077	4753	5.1337	51.8776	7	99.77	bio57793	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12	PRJNA87001	5121	4924	4.9498	51.8911	7	99.79	bio87001	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhi str. Ty2	PRJNA57973	4637	4313	4.7920	52.1	7	99.76	bio57973	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhimurium	PRJNA86061	4556	4446	4.8794	52.2	7	99.72	bio86061	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	PRJNA86059	5623	5412	4.9641	52.217	7	99.63	bio86059	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhimurium str. 798	PRJNA158047	4579	4430	4.9701	52.217	7	99.53	bio15804	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	PRJNA86645	4838	4655	5.0675	50.2486	7	99.66	bio86645	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	PRJNA84393	4992	4842	5.0675	52.1975	7	99.66	bio84393	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240	PRJNA84397	4976	4870	5.0700	52.2422	7	99.62	bio84397	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	PRJNA87049	4685	4555	4.9112	52.2152	7	99.61	bio87049	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Salmonella enterica subsp. houtenae str. ATCC BAA-1581	PRJNA28767	4865	4720	4.8117	51.7	5	99.56	bio28767	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Sanguibacter keddieii DSM 10542	PRJNA40845	3800	3710	4.2534	71.9	4	99.71	bio40845	Sanguibacter keddieii	Sanguibacter	Sanguibacteraceae	Actinomycetales	Actinobacteria	Actinobacteria	
Saprospira grandis str. Lewin	PRJNA89375	4325	4251	4.4002	46.4012	3	99.78	bio89375	Saprospira grandis	Saprospira	Saprospiraceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	
Sebaldella termitidis ATCC 33386	PRJNA41865	4266	4150	4.4867	33.4235	4	99.83	bio41865	Sebaldella termitidis	Sebaldella	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	
Segniliparus rotundus DSM 44985	PRJNA49049	3127	3006	3.1575	66.8	1	n.d.	bio49049	Segniliparus rotundus	Segniliparus	Segniliparaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Selenomonas ruminantium subsp. lactilytica TAM6421	PRJNA157247	3609	3512	3.6319	50.1648	7	96.25	bio15724	Selenomonas ruminantium	Selenomonas	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes	
Serratia plymuthica AS9	PRJNA67313	5139	4952	5.4429	56	7	99.80	bio67313	Serratia plymuthica	Serratia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Serratia proteamaculans 568	PRJNA58725	5064	4942	5.4957	55.0498	7	99.55	bio58725	Serratia proteamaculans	Serratia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Serratia symbiotica str. 'Cinara cedri'	PRJNA82363	772	672	1.7628	29.2	1	n.d.	bio82363	Serratia symbiotica	Serratia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shewanella amazonensis SB2B	PRJNA58257	3785	3645	4.3061	53.6	8	99.73	bio58257	Shewanella amazonensis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella baltica OS117	PRJNA49451	4986	4668	5.5260	45.9893	10	99.15	bio49451	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella baltica OS155	PRJNA58259	4718	4489	5.3429	46.2451	10	99.19	bio58259	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella baltica OS185	PRJNA58743	4596	4394	5.3129	46.2593	10	99.28	bio58743	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella baltica OS195	PRJNA58261	4859	4688	5.5475	46.1909	10	99.38	bio58261	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella baltica OS223	PRJNA58775	4666	4436	5.3589	46.2523	10	99.61	bio58775	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella baltica OS678	PRJNA50553	4759	4536	5.3688	46.276	10	99.46	bio50553	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella denitrificans OS217	PRJNA58263	3905	3754	4.5459	45.1	8	99.43	bio58263	Shewanella denitrificans	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella frigidimarina NCIMB 400	PRJNA58265	4199	4029	4.8453	41.6	9	99.83	bio58265	Shewanella frigidimarina	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella halifaxensis HAW-EB4	PRJNA59007	4464	4278	5.2269	44.6	10	99.80	bio59007	Shewanella halifaxensis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella loihica PV-4	PRJNA58349	3993	3859	4.6026	53.7	8	99.48	bio58349	Shewanella loihica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella oneidensis MR-1	PRJNA57949	4745	4467	5.1314	45.9276	9	99.75	bio57949	Shewanella oneidensis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella pealeana ATCC 700345	PRJNA58705	4438	4241	5.1746	44.7	11	99.84	bio58705	Shewanella pealeana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella piezotolerans WP3	PRJNA58745	5025	4911	5.3965	43.3	8	99.70	bio58745	Shewanella piezotolerans	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella putrefaciens 200	PRJNA13392	4458	4179	4.8403	44.5	8	99.16	bio13392	Shewanella putrefaciens	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella putrefaciens CN-32	PRJNA58267	4134	3972	4.6592	44.5	8	99.41	bio58267	Shewanella putrefaciens	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella sediminis HAW-EB3	PRJNA58835	4666	4497	5.5177	46.1	12	99.59	bio58835	Shewanella sediminis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella violacea DSS12	PRJNA47085	4515	4346	4.9621	44.7	14	99.65	bio47085	Shewanella violacea	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shewanella woodyi ATCC 51908	PRJNA58721	5096	4880	5.9354	43.7	10	99.28	bio58721	Shewanella woodyi	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Shigella boydii CDC 3083-94	PRJNA58415	5323	4557	4.8747	50.9975	7	99.59	bio58415	Shigella boydii	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella boydii Sb227	PRJNA58215	4613	4281	4.6465	51.0964	7	99.68	bio58215	Shigella boydii	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella dysenteriae Sd197	PRJNA58213	4892	4501	4.5609	50.921	7	99.91	bio58213	Shigella dysenteriae	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella flexneri 2002017	PRJNA159233	5058	4703	4.8945	50.6619	7	99.27	bio15923	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella flexneri 2a str. 2457T	PRJNA57991	4570	4060	4.5994	50.9	7	99.67	bio57991	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella flexneri 2a str. 301	PRJNA62907	4828	4438	4.8288	50.6659	7	99.54	bio62907	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella flexneri 5 str. 8401	PRJNA58583	4432	4114	4.5743	50.9	7	98.97	bio58583	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella flexneri 5a str. M90T	PRJNA73131	4330	4013	4.5690	50.9	6	99.65	bio73131	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella sonnei	PRJNA84383	5531	5412	5.2205	50.7341	7	99.20	bio84383	Shigella sonnei	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Shigella sonnei Ss046	PRJNA58217	4804	4470	5.0553	50.7587	7	99.34	bio58217	Shigella sonnei	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Sideroxydans lithotrophicus ES-1	PRJNA46801	3050	2980	3.0037	57.5	2	99.68	bio46801	Sideroxydans lithotrophicus	Sideroxydans	Gallionellaceae	Gallionellales	Betaproteobacteria	Proteobacteria	
Simkania negevensis Z	PRJNA68451	2561	2518	2.6284	41.6242	1	n.d.	bio68451	Simkania negevensis	Simkania	Simkaniaceae	Chlamydiales	Chlamydiia	Chlamydiae	
Sinorhizobium fredii	PRJNA86865	6228	6159	6.6318	62.3979	3	99.78	bio86865	Sinorhizobium fredii	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Sinorhizobium fredii NGR234	PRJNA59081	6473	6363	6.8919	62.4031	3	99.42	bio59081	Sinorhizobium fredii	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Sinorhizobium medicae WSM419	PRJNA58549	6585	6213	6.8176	61.1627	3	99.78	bio58549	Sinorhizobium medicae	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Sinorhizobium meliloti 1021	PRJNA57603	6292	6218	6.6917	62.1591	3	99.78	bio57603	Sinorhizobium meliloti	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Sinorhizobium meliloti AK83	PRJNA52607	7023	6510	7.1405	61.9493	3	99.69	bio52607	Sinorhizobium meliloti	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Sinorhizobium meliloti BL225C	PRJNA42477	6776	6354	6.9788	62.0294	3	99.73	bio42477	Sinorhizobium meliloti	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Sinorhizobium meliloti SM11	PRJNA159685	7156	7093	7.1737	62.0625	3	99.78	bio15968	Sinorhizobium meliloti	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Slackia heliotrinireducens DSM 20476	PRJNA59051	2855	2766	3.1650	60.2	2	99.81	bio59051	Slackia heliotrinireducens	Slackia	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	
Sodalis glossinidius str. 'morsitans'	PRJNA58553	2607	2516	4.2925	54.5066	7	99.77	bio58553	Sodalis glossinidius	Sodalis	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Sorangium cellulosum 'So ce 56'	PRJNA61629	9702	9380	13.0338	71.4	4	99.75	bio61629	Sorangium cellulosum	Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	
Sphaerobacter thermophilus DSM 20745	PRJNA41997	3585	3485	3.9938	68.1	2	99.54	bio41997	Sphaerobacter thermophilus	Sphaerobacter	Sphaerobacteraceae	Sphaerobacterales	Thermomicrobia	Chloroflexi	
Sphaerochaeta globus str. Buddy	PRJNA63633	3122	3017	3.3165	48.9	4	99.33	bio63633	Sphaerochaeta globus	Sphaerochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Sphaerochaeta pleomorpha str. Grapes	PRJNA82365	3283	3159	3.5909	46.2	4	99.75	bio82365	Sphaerochaeta pleomorpha	Sphaerochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Sphingobium chlorophenolicum L-1	PRJNA52597	4265	4072	4.5732	63.8346	3	99.78	bio52597	Sphingobium chlorophenolicum	Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	
Sphingobium japonicum UT26S	PRJNA47077	4461	4394	4.4249	64.8793	3	99.82	bio47077	Sphingobium japonicum	Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	
Sphingomonas wittichii RW1	PRJNA58691	5455	5345	5.9152	67.9033	2	99.67	bio58691	Sphingomonas wittichii	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	
Sphingopyxis alaskensis RB2256	PRJNA58351	3260	3195	3.3737	65.4569	1	n.d.	bio58351	Sphingopyxis alaskensis	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	
Spirochaeta africana DSM 8902	PRJNA81779	2873	2782	3.2859	57.8	3	99.96	bio81779	Spirochaeta africana	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Spirochaeta caldaria DSM 7334	PRJNA68753	2928	2789	3.2393	45.6	3	99.66	bio68753	Spirochaeta caldaria	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Spirochaeta coccoides DSM 17374	PRJNA66331	1924	1822	2.2273	50.6	3	99.70	bio66331	Spirochaeta coccoides	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Spirochaeta smaragdinae DSM 11293	PRJNA51369	4361	4219	4.6540	49	2	99.55	bio51369	Spirochaeta smaragdinae	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Spirochaeta thermophila DSM 6192	PRJNA53037	2255	2203	2.4726	61.9	2	100.00	bio53037	Spirochaeta thermophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Spirochaeta thermophila DSM 6578	PRJNA50823	2350	2264	2.5602	60.9	2	99.68	bio50823	Spirochaeta thermophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	
Spirosoma linguale DSM 74	PRJNA43413	7130	6938	8.4913	50.1563	4	99.83	bio43413	Spirosoma linguale	Spirosoma	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	
Stackebrandtia nassauensis DSM 44728	PRJNA46663	6542	6379	6.8416	68.1	2	100.00	bio46663	Stackebrandtia nassauensis	Stackebrandtia	Glycomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Staphylococcus aureus 04-02981	PRJNA34809	2732	2650	2.8215	32.9	5	99.71	bio34809	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Staphylococcus aureus RF122	PRJNA57661	2663	2509	2.7425	32.8	5	99.67	bio57661	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Staphylococcus aureus subsp. aureus 11819-97	PRJNA78269	2736	2656	2.8689	32.8704	5	99.78	bio78269	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Staphylococcus aureus subsp. aureus 71193	PRJNA66999	2693	2623	2.7150	32.9	6	99.74	bio66999	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Staphylococcus aureus subsp. aureus COL	PRJNA57797	2726	2615	2.8139	32.7956	6	99.74	bio57797	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Staphylococcus aureus subsp. aureus ECT-R 2	PRJNA159389	2596	2520	2.7591	32.8419	5	99.73	bio15938	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Staphylococcus aureus subsp. aureus ED133	PRJNA159689	2750	2653	2.8325	32.9	5	99.81	bio15968	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
Staphylococcus aureus subsp. aureus ED98	PRJNA41455	2781	2689	2.8475	32.7742	5	99.63	bio41455	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	
